id,mention,cui,start_index,end_index,sentence
0,zelfmoord,C0038661,29,38,"De officiële doodsoorzaak is zelfmoord, maar er wordt beweerd dat hij door de Engelse geheime dienst is vermoord, omdat hij te veel zou weten over geheime codes en daardoor een te groot veiligheidsrisico werd."
1,homoseksueel,C0019899,120,132,"Kenmerkend aan de ziekte was dat de weerstand van de getroffen personen aangetast werd, dat negen van de tien patiënten homoseksueel waren en 98% man."
2,hemofilie,C0684275,98,107,In 1982 werd duidelijk dat ook gebruikers van verdovende middelen en lijders aan de bloederziekte hemofilie de ziekte konden krijgen.
3,immuundeficiëntie,C0003257,110,127,"De ziekte kreeg een naam al voordat de verwekker gevonden was: acquired immuno-deficiency syndrome (verworven immuundeficiëntiesyndroom), afgekort aids."
4,RNA,C0035668,90,93,"De verschillen tussen deze virussen komen door verschillen in het erfelijk materiaal, het RNA."
5,PrEP,C3850098,63,67,De Amerikaanse overheid raadt haar burgers aan om in elk geval PrEP en niet alleen een condoom te gebruiken om besmetting met hiv te voorkomen.
6,ontsteking,C0021368,94,104,Het risico op besmetting neemt fors toe als er naast hiv bij een van de partners een genitale ontsteking of een andere seksueel overdraagbare aandoening (soa) aanwezig is.
7,seksueel overdraagbare aandoening,C0036916,119,152,Het risico op besmetting neemt fors toe als er naast hiv bij een van de partners een genitale ontsteking of een andere seksueel overdraagbare aandoening (soa) aanwezig is.
8,gonorroe,C0018081,20,28,"Andere soa's, zoals gonorroe, chlamydia, trichomoniasis, en bacteriële vaginose, worden door onderzoekers in verband gebracht met een minder grote verhoging van het besmettingsrisico."
9,chlamydia,C0008149,30,39,"Andere soa's, zoals gonorroe, chlamydia, trichomoniasis, en bacteriële vaginose, worden door onderzoekers in verband gebracht met een minder grote verhoging van het besmettingsrisico."
10,trichomoniasis,C0040921,41,55,"Andere soa's, zoals gonorroe, chlamydia, trichomoniasis, en bacteriële vaginose, worden door onderzoekers in verband gebracht met een minder grote verhoging van het besmettingsrisico."
11,bacteriële vaginose,C0085166,60,79,"Andere soa's, zoals gonorroe, chlamydia, trichomoniasis, en bacteriële vaginose, worden door onderzoekers in verband gebracht met een minder grote verhoging van het besmettingsrisico."
12,lymfeklier,C0024204,81,91,"Slechts 2% van het aidsvirus bevindt zich in het bloed, de overige 98% zit in de lymfeklieren."
13,T-lymfocyten,C0039194,37,49,Deze worden dan door de cytotoxische T-lymfocyten aangezien als geïnfecteerde cellen (terwijl ze dat niet zijn) en worden gedood.
14,pest,C0524687,57,61,Een theorie is dat dit gen ontstaan is als reactie op de pest-epidemieën die honderden jaren woedden in Europa.
16,longontsteking,C0032285,48,62,"Toen hij 5 jaar oud was, overleed hij bijna aan longontsteking."
17,Eerste Wereldoorlog,C1449759,11,30,Tijdens de Eerste Wereldoorlog diende hij als arts in het Oostenrijkse leger.
18,amnesie,C0002625,93,100,De persoon in kwestie is zich na deze episode niet bewust van wat zich heeft plaatsgevonden (amnesie).
19,cultuurgebonden syndroom,C0520685,97,121,Het syndroom werd voor het eerst omschreven in Maleisië en werd in de DSM-IV geklasseerd als een cultuurgebonden syndroom.
20,ziekte van Van Leeuwenhoek,C0027066,168,194,Volgens de verhalen dicteerde hij op zijn sterfbed een brief aan de Royal Society waarin hij het fladderen van zijn middenrif zo grondig beschreef dat de aandoening de ziekte van Van Leeuwenhoek wordt genoemd.
23,Y-chromosoom,C0043381,20,32,Uit analyse van het Y-chromosoom van de achterkleinkinderen van Alois Hitler bleek dat dit identiek was aan dat van mannelijke familieleden uit Neder-Oostenrijk.
24,puberteit,C0034011,13,22,Tijdens zijn puberteit werd de jonge Hitler ook voor het eerst en voor het laatst in zijn leven dronken.
25,empathie,C0013989,69,77,In tegenstelling tot voor dieren had Hitler geen enkel medegevoel of empathie voor zijn medemensen en was zelfs volstrekt meedogenloos en wraakzuchtig wat zijn tegenstanders betreft.
26,borstkanker,C0006142,135,146,"In 1907 gebeurde er iets wat waarschijnlijk een grote invloed op een deel van Hitlers leven had; bij Klara Pölzl, Hitlers moeder, werd borstkanker geconstateerd."
27,Zigeuners,C0018422,0,9,"Zigeuners, homoseksuelen, Jehova's getuigen en andere groepen mensen die als ongewenst werden beschouwd ondergingen hetzelfde lot."
28,homoseksuelen,C0019899,11,24,"Zigeuners, homoseksuelen, Jehova's getuigen en andere groepen mensen die als ongewenst werden beschouwd ondergingen hetzelfde lot."
29,Jehova's getuigen,C0022372,26,43,"Zigeuners, homoseksuelen, Jehova's getuigen en andere groepen mensen die als ongewenst werden beschouwd ondergingen hetzelfde lot."
30,middenrif,C0011980,47,56,"Heydrich liep vrij zware verwondingen aan zijn middenrif en milt en een ingeklapte linkerlong op, maar hij verkeerde niet in levensgevaar."
31,milt,C0037993,60,64,"Heydrich liep vrij zware verwondingen aan zijn middenrif en milt en een ingeklapte linkerlong op, maar hij verkeerde niet in levensgevaar."
32,ingeklapte linkerlong,C0149781,72,93,"Heydrich liep vrij zware verwondingen aan zijn middenrif en milt en een ingeklapte linkerlong op, maar hij verkeerde niet in levensgevaar."
